b,2,22.67,64.688,185.71,2016-03-15 19:05:33
b,3,22.75,53.267,185.71,2016-03-15 19:05:33
c,2,22.10,50.351,171.43,2016-03-15 19:05:33
c,4,21.98,38.039,217.14,2016-03-15 19:05:33
c,5,22.00,41.603,161.43,2016-03-15 19:05:33
a,2,21.12,43.749,187.14,2016-03-15 19:05:34
b,1,22.92,50.513,165.71,2016-03-15 19:05:34
a,1,20.71,45.410,198.57,2016-03-15 19:05:35
a,3,20.73,41.401,215.71,2016-03-15 19:05:35
a,4,21.14,42.494,231.43,2016-03-15 19:05:36
c,1,22.28,40.388,144.29,2016-03-15 19:05:36
c,2,22.10,50.351,175.71,2016-03-15 19:05:36
c,4,21.98,37.999,217.14,2016-03-15 19:05:36
b,1,22.92,50.472,165.71,2016-03-15 19:05:37
b,2,22.66,64.647,188.57,2016-03-15 19:05:37
b,3,22.75,53.227,185.71,2016-03-15 19:05:37
c,3,22.10,35.285,157.14,2016-03-15 19:05:37
c,5,22.02,41.563,158.57,2016-03-15 19:05:37
a,2,21.11,43.709,187.14,2016-03-15 19:05:38
a,4,21.14,42.453,234.29,2016-03-15 19:05:39
a,1,20.72,45.410,198.57,2016-03-15 19:05:40
a,3,20.75,41.401,214.29,2016-03-15 19:05:40
c,4,21.98,37.999,217.14,2016-03-15 19:05:40
c,5,22.01,41.522,158.57,2016-03-15 19:05:40
b,3,22.74,53.186,184.29,2016-03-15 19:05:41
c,1,22.28,40.388,141.43,2016-03-15 19:05:41
c,2,22.10,50.351,174.29,2016-03-15 19:05:41
c,3,22.09,35.285,160.00,2016-03-15 19:05:41
a,2,21.12,43.749,187.14,2016-03-15 19:05:42
b,1,22.93,50.472,164.29,2016-03-15 19:05:42
b,2,22.67,64.607,185.71,2016-03-15 19:05:42
a,1,20.70,45.410,198.57,2016-03-15 19:05:44
a,3,20.74,41.401,210.00,2016-03-15 19:05:44
a,4,21.14,42.494,230.00,2016-03-15 19:05:44
c,2,22.11,50.351,172.86,2016-03-15 19:05:44
c,3,22.10,35.325,160.00,2016-03-15 19:05:44
b,2,22.68,64.607,184.29,2016-03-15 19:05:45
b,3,22.75,53.186,184.29,2016-03-15 19:05:45
c,1,22.28,40.388,145.71,2016-03-15 19:05:45
c,4,21.97,38.039,217.14,2016-03-15 19:05:45
c,5,21.99,41.563,160.00,2016-03-15 19:05:45
b,1,22.91,50.472,165.71,2016-03-15 19:05:46
a,2,21.12,43.709,187.14,2016-03-15 19:05:47
a,1,20.71,45.410,197.14,2016-03-15 19:05:48
a,3,20.74,41.441,215.71,2016-03-15 19:05:48
c,2,22.10,50.351,174.29,2016-03-15 19:05:48
a,4,21.14,42.453,230.00,2016-03-15 19:05:49
b,1,22.92,50.472,167.14,2016-03-15 19:05:49
b,2,22.66,64.607,185.71,2016-03-15 19:05:49
b,3,22.75,53.186,184.29,2016-03-15 19:05:49
c,1,22.28,40.347,142.86,2016-03-15 19:05:49
c,3,22.10,35.325,160.00,2016-03-15 19:05:49
c,4,21.98,38.039,218.57,2016-03-15 19:05:49
c,5,22.00,41.563,157.14,2016-03-15 19:05:49
a,2,21.12,43.709,187.14,2016-03-15 19:05:50
a,4,21.13,42.413,232.86,2016-03-15 19:05:51
a,1,20.71,45.410,201.43,2016-03-15 19:05:52
a,3,20.74,41.360,214.29,2016-03-15 19:05:52
c,1,22.28,40.307,142.86,2016-03-15 19:05:52
c,2,22.10,50.351,174.29,2016-03-15 19:05:52
c,3,22.10,35.325,160.00,2016-03-15 19:05:52
c,4,21.98,38.039,217.14,2016-03-15 19:05:52
c,5,22.00,41.563,161.43,2016-03-15 19:05:52
b,2,22.66,64.607,185.71,2016-03-15 19:05:53
b,3,22.75,53.186,184.29,2016-03-15 19:05:53
b,1,22.92,50.513,164.29,2016-03-15 19:05:54
a,2,21.11,43.709,187.14,2016-03-15 19:05:55
a,1,20.71,45.410,198.57,2016-03-15 19:05:56
a,3,20.74,41.360,215.71,2016-03-15 19:05:56
a,4,21.14,42.413,234.29,2016-03-15 19:05:56
c,1,22.26,40.347,142.86,2016-03-15 19:05:56
c,2,22.11,50.351,171.43,2016-03-15 19:05:56
c,4,21.97,38.039,217.14,2016-03-15 19:05:56
c,5,22.00,41.563,158.57,2016-03-15 19:05:56
b,1,22.91,50.513,165.71,2016-03-15 19:05:57
b,2,22.66,64.607,185.71,2016-03-15 19:05:57
b,3,22.73,53.186,182.86,2016-03-15 19:05:57
c,3,22.09,35.325,158.57,2016-03-15 19:05:57
